Documentary,Western,(no genres listed),Crime,Animation,Children,IMAX,Comedy,Thriller,Mystery,Film-Noir,Drama,Action,Fantasy,Musical,War,Horror,Sci-Fi,Romance,Adventure
Hommage à Zgougou (et salut à Sabine Mamou) (2002),,,Femme Fatale (2002),Song of the Sea (2014),Kirikou and the Sorceress (Kirikou et la sorcière) (1998),,Closely Watched Trains (Ostre sledované vlaky) (1966),Cube (1997),Shadow of the Thin Man (1941),,"Sixth Sense, The (1999)",King Kong (1933),"Pan's Labyrinth (Laberinto del fauno, El) (2006)",Annie Get Your Gun (1950),Roots (1977),"Hunchback of Notre Dame, The (1923)",Turbo Kid (2015),Together (Tillsammans) (2000),"Black Stallion Returns, The (1983)"
Super High Me (2007),,,Hellsinki (Rööperi) (2009),Blue Exorcist: The Movie (2012),"Apple Dumpling Gang Rides Again, The (1979)",,Paint Your Wagon (1969),Chill Factor (1999),Final Destination 3 (2006),,"Come Back, Little Sheba (1952)","Dukes of Hazzard, The (2005)","Chinese Ghost Story, A (Sinnui yauwan) (1987)",Oliver & Company (1988),Delta Force 2 (Delta Force 2: The Colombian Connection) (1990),"Babadook, The (2014)","Blob, The (1958)",Fur: An Imaginary Portrait of Diane Arbus (2006),Anthony Adverse (1936)
'Hellboy': The Seeds of Creation (2004),,,The Punisher: Dirty Laundry (2012),Bambi (1942),"Spiderwick Chronicles, The (2008)",,Damn Yankees! (1958),Ringu 0: Bâsudei (2000),That Darn Cat! (1965),,Tully (2000),Cradle 2 the Grave (2003),Fat Albert (2004),"Many Adventures of Winnie the Pooh, The (1977)",El Cid (1961),"Abominable Dr. Phibes, The (1971)",Doctor Who: A Christmas Carol (2010),"Price of Milk, The (2000)",Iron Man & Hulk: Heroes United (2013)
Maya Lin: A Strong Clear Vision (1994),,,Under Suspicion (2000),Transformers: The Movie (1986),"Shaggy D.A., The (1976)",,Four Rooms (1995),Bloodsport III (1996),"Big Sleep, The (1946)",,"Fugitive, The (1947)",Thor: The Dark World (2013),Joe's Apartment (1996),Tango (1998),Tea with Mussolini (1999),Black Sheep (2006),Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) (1984),Houseboat (1958),Born Free (1966)
Expelled: No Intelligence Allowed (2008),,,"Assassination of Richard Nixon, The (2004)",Monsters vs. Aliens (2009),Nanny McPhee (2005),,The House (2017),Cloverfield (2008),"Abandoned, The (2006)",,Bogus (1996),"Hunted, The (2003)",Shallow Hal (2001),How the Grinch Stole Christmas! (1966),Braddock: Missing in Action III (1988),"Blob, The (1958)",Captain America: The First Avenger (2011),'Tis the Season for Love (2015),Harold & Kumar Escape from Guantanamo Bay (2008)
Revolution OS (2001),,,Ocean's Eleven (a.k.a. Ocean's 11) (1960),Open Season (2006),Recess: School's Out (2001),,Starsky & Hutch (2004),House of Wax (2005),Melvin and Howard (1980),,Stefan Zweig: Farewell to Europe (2016),Captain America II: Death Too Soon (1979),"Librarian, The: The Curse of the Judas Chalice (2008)","Lion King, The (1994)",Nothing Personal (1995),"Wolf Man, The (1941)",Doctor Who: Voyage Of The Damned (2007),"Wedding Banquet, The (Xi yan) (1993)",Jumanji: Welcome to the Jungle (2017)
Amanda Knox (2016),,,Fun (1994),Mr. Peabody & Sherman (2014),Risen (2016),,"Visit, The (2015)",Outland (1981),Citizen Kane (1941),,"Man for All Seasons, A (1966)",Batman: The Killing Joke (2016),Tooth Fairy (2010),Yellow Submarine (1968),"Pianist, The (2002)",Dawn of the Dead (1978),Snowpiercer (2013),Date Night (2010),"Order, The (2001)"
One Day in September (1999),,,Be Cool (2005),Jin Roh: The Wolf Brigade (Jin-Rô) (1998),Teenage Mutant Ninja Turtles II: The Secret of the Ooze (1991),,Miss Nobody (2010),"Sacrament, The (2013)",In a Lonely Place (1950),,Fools Rush In (1997),Oblivion (2013),"Warrior's Way, The (2010)",Follow the Fleet (1936),Schindler's List (1993),Dance of the Dead (2008),Species (1995),License to Wed (2007),Mind Game (2004)
"King of Kong, The (2007)",,,Oscar (1991),Jetsons: The Movie (1990),"Flintstones, The (1994)",,Celebrity (1998),Sherlock Holmes and the Secret Weapon (1942),National Treasure (2004),,Eros (2004),Battlestar Galactica: Razor (2007),TiMER (2009),Holiday Inn (1942),"Edge of Love, The (2008)",Species (1995),"Last Starfighter, The (1984)","First Time, The (2012)",Highlander: The Search for Vengeance (2007)
"Brief History of Time, A (1991)",,,Ghost in the Shell: Solid State Society (2006),South Park: Imaginationland (2008),Herbie Goes Bananas (1980),,Hopscotch (1980),Copycat (1995),Insomnia (1997),,Rosetta (1999),"World Is Not Enough, The (1999)","Twilight Saga: New Moon, The (2009)","Day at the Races, A (1937)",Battle Royale 2: Requiem (Batoru rowaiaru II: Chinkonka) (2003),Audition (Ôdishon) (1999),Prometheus (2012),Midnight in Paris (2011),Curious George (2006)
Titicut Follies (1967),,,Gone Baby Gone (2007),Batman: Year One (2011),Ruby Red (2013),,Applesauce (2015),Wicker Park (2004),The Wailing (2016),,"Stranger, The (1946)",Kill! (Kiru) (1968),Rise of the Guardians (2012),Nashville (1975),"Peacemaker, The (1997)","Troll Hunter, The (Trolljegeren) (2010)",Battle: Los Angeles (2011),"New World, The (2005)","Little Vampire, The (2000)"
Requiem for the American Dream (2015),,,Rocco and His Brothers (Rocco e i suoi fratelli) (1960),Bobik Visiting Barbos (1977),Song of the Sea (2014),,Trapped in Paradise (1994),Trance (2013),Masquerade (1988),,There Will Be Blood (2007),Camino (2016),Jumanji (1995),American Pop (1981),Incendies (2010),Prometheus (2012),28 Weeks Later (2007),"Jazz Singer, The (1927)",Guardians of the Galaxy (2014)
Aileen: Life and Death of a Serial Killer (2003),,,Take the Money and Run (1969),Kung Fu Panda: Secrets of the Masters (2011),The Tale of the Bunny Picnic (1986),,Class (1983),Europa (Zentropa) (1991),"Bourne Identity, The (1988)",,Nowhere in Africa (Nirgendwo in Afrika) (2001),Gladiator (1992),Phantom of the Paradise (1974),Anchors Aweigh (1945),Red Cliff (Chi bi) (2008),28 Weeks Later (2007),Silent Running (1972),"He Said, She Said (1991)","Bug's Life, A (1998)"
"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",,,Wild Horses (2015),Mickey's The Prince and the Pauper (1990),Bambi (1942),,Arthur (2011),Garm Wars: The Last Druid (2014),In the Electric Mist (2009),,Colors (1988),"Ghost and the Darkness, The (1996)","Monsters, Inc. (2001)",Babes in Toyland (1934),Doctor Zhivago (1965),Galaxy of Terror (Quest) (1981),Star Wars: Episode III - Revenge of the Sith (2005),"Messenger, The (2009)",Deadpool (2016)
Roger & Me (1989),,,Big Deal on Madonna Street (I Soliti Ignoti) (1958),"Liar's Autobiography: The Untrue Story of Monty Python's Graham Chapman, A (2012)","Borrowers, The (1997)",,Grind (2003),"Rules of Attraction, The (2002)",Tenebre (1982),,Less Than Zero (1987),Sherlock Holmes (2009),Ghosts of Girlfriends Past (2009),Night and Day (1946),"African Queen, The (1951)","Invisible Man Returns, The (1940)",Galaxy of Terror (Quest) (1981),Days of Thunder (1990),"Horse Soldiers, The (1959)"
"What Happened, Miss Simone? (2015)",,,Smokin' Aces (2006),LEGO DC Super Hero Girls: Brain Drain (2017),Home Alone (1990),,"Sisterhood of the Traveling Pants 2, The (2008)","Diamond Arm, The (Brilliantovaya ruka) (1968)",Perfect Blue (1997),,Cake (2014),Sahara (2005),Kizumonogatari III: Cold Blood (2017),"Sound of Music, The (1965)",To Have and Have Not (1944),"Monster Squad, The (1987)",Dune (1984),Better Than Sex (2000),Porco Rosso (Crimson Pig) (Kurenai no buta) (1992)
"Last Waltz, The (1978)",,,Ronin (1998),Saving Santa (2013),Transformers: The Movie (1986),,Four Christmases (2008),Frequency (2000),Santa Sangre (1989),,Desert Hearts (1985),Resident Evil: Retribution (2012),Super Mario Bros. (1993),Shrek 2 (2004),"Battle of Algiers, The (La battaglia di Algeri) (1966)",Annabelle: Creation (2017),"Invisible Man Returns, The (1940)",Perfect (1985),Mutiny on the Bounty (1962)
"Winged Migration (Peuple migrateur, Le) (2001)",,,Miller's Crossing (1990),Lesson Faust (1994),RV (2006),,Camp Rock (2008),Anaconda: The Offspring (2008),Stoker (2013),,Elsa & Fred (2005),Date Night (2010),Street Fighter (1994),Meet the Feebles (1989),Kagemusha (1980),Mega Shark vs. Crocosaurus (2010),"Hitchhiker's Guide to the Galaxy, The (2005)",Come See the Paradise (1990),Tron (1982)
Who Killed Chea Vichea? (2010),,,00 Schneider - Jagd auf Nihil Baxter (1994),Kung Fu Panda: Secrets of the Furious Five (2008),"Ewok Adventure, The (a.k.a. Caravan of Courage: An Ewok Adventure) (1984)",,"Hairdresser's Husband, The (Le mari de la coiffeuse) (1990)",Death Proof (2007),"Apartment, The (Appartement, L') (1996)",,This Property is Condemned (1966),Resident Evil: Extinction (2007),Kong: Skull Island (2017),Pete's Dragon (1977),Chapayev (1934),Stan Helsing (2009),Pixel Perfect (2004),Win a Date with Tad Hamilton! (2004),Aladdin (1992)
Crumb (1994),,,Knock Knock (2015),Cloudy with a Chance of Meatballs (2009),Open Season (2006),,Teknolust (2002),Rear Window (1954),Blow Out (1981),,Invincible (2001),Inescapable (2012),"Return of Jafar, The (1994)",Stingray Sam (2009),Battlestar Galactica (2003),Teeth (2007),Morons From Outer Space (1985),27 Dresses (2008),The Mummy (2017)
Kurt & Courtney (1998),,,Close Range (2015),A Silent Voice (2016),Catch That Kid (2004),,Mystery Science Theater 3000: The Movie (1996),B. Monkey (1998),Following (1998),,Alex and Emma (2003),"Librarian: Return to King Solomon's Mines, The (2006)",Night Watch (Nochnoy dozor) (2004),History of the World: Part I (1981),Sands of Iwo Jima (1949),"Wolfman, The (2010)",Narcopolis (2014),Smooth Talk (1985),Akira (1988)
"Brandon Teena Story, The (1998)",,,Big Trouble (2002),"Lion King II: Simba's Pride, The (1998)",Return to Oz (1985),,200 Cigarettes (1999),"Field in England, A (2013)",Bunny Lake Is Missing (1965),,Band of Brothers (2001),Men in Black (a.k.a. MIB) (1997),Emerald Green (2016),High Society (1956),"Midnight Clear, A (1992)",Tales from the Crypt Presents: Bordello of Blood (1996),Superhero Movie (2008),Elizabethtown (2005),Balto (1995)
Billabong Odyssey (2003),,,Man on a Ledge (2012),Tokyo Godfathers (2003),Born to Be Wild (1995),,Best in Show (2000),Cradle 2 the Grave (2003),The Devil's Advocate (1997),,Revenge (1990),Wrath of the Titans (2012),Beauty and the Beast (1991),Song of the South (1946),Soldier (1998),Carnival of Souls (1962),"I, Robot (2004)",Swept from the Sea (1997),Army of Darkness (1993)
Heidi Fleiss: Hollywood Madam (1995),,,21 Jump Street (2012),Waking Life (2001),Air Bud (1997),,New York Stories (1989),Saboteur (1942),The Cloverfield Paradox (2018),,Husbands and Wives (1992),Taken 2 (2012),"NeverEnding Story II: The Next Chapter, The (1990)",Aladdin and the King of Thieves (1996),"Year of Living Dangerously, The (1982)","Orphanage, The (Orfanato, El) (2007)",Generation P (2011),Mad Dog and Glory (1993),G.I. Joe: Retaliation (2013)
Everything or Nothing: The Untold Story of 007 (2012),,,Rage of Honor (1987),The Magic Ring (1982),Jetsons: The Movie (1990),,Ex Drummer (2007),"Hunted, The (2003)",Eyes Wide Shut (1999),,Taps (1981),Land of the Dead (2005),"Simple Wish, A (1997)",Joyful Noise (2012),Charlotte's Web (2006),"Nightmare on Elm Street 4: The Dream Master, A (1988)",Village of the Damned (1995),"Sand Pebbles, The (1966)",For the Love of Benji (1977)
"Cove, The (2009)",,,Rise of the Footsoldier (2007),Ratchet & Clank (2016),Cheaper by the Dozen (2003),,How to Succeed in Business Without Really Trying (1967),Heartless (2009),"Trouble with Harry, The (1955)",,Fried Green Tomatoes (1991),"Adventures of Pluto Nash, The (2002)",Bruce Almighty (2003),Drumline (2002),Little Big Soldier (Da bing xiao jiang) (2010),"Awakening, The (1980)",Evangelion: 2.0 You Can (Not) Advance (Evangerion shin gekijôban: Ha) (2009),Sixteen Candles (1984),"Land Before Time, The (1988)"
All Watched Over by Machines of Loving Grace (2011),,,Prime Suspect 3 (1993),Perfect Blue (1997),Kung Fu Panda: Secrets of the Masters (2011),,Meatballs Part II (1984),American Psycho (2000),Anatomy of a Murder (1959),,Babe: Pig in the City (1998),Into the Blue (2005),"Golden Child, The (1986)",Hipsters (Stilyagi) (2008),Restrepo (2010),Hellraiser (1987),"Brother from Another Planet, The (1984)","Librarian: Quest for the Spear, The (2004)",You Only Live Twice (1967)
Blackfish (2013),,,Transporter 2 (2005),Heavy Metal 2000 (2000),The Love Bug (1997),,Cry-Baby (1990),Red Corner (1997),Rising Sun (1993),,Snow White and the Seven Dwarfs (1937),Condorman (1981),Aelita: The Queen of Mars (Aelita) (1924),"Chorus Line, A (1985)",Stalag 17 (1953),Lake Placid (1999),Speed Racer (2008),Love and Other Drugs (2010),Spacehunter: Adventures in the Forbidden Zone (1983)
Naqoyqatsi (2002),,,Undisputed III: Redemption (2010),Wicked City (Yôjû toshi) (1987),Mickey's The Prince and the Pauper (1990),,Vir Das: Abroad Understanding (2017),Scream 3 (2000),Mulholland Dr. (1999),,Hoosiers (a.k.a. Best Shot) (1986),Gintama (2017),Reign of Fire (2002),Peter Pan (1960),Beyond Rangoon (1995),Village of the Damned (1995),Explorers (1985),"Reader, The (2008)",Vacation (2015)
Zeitgeist: Addendum (2008),,,Never Die Alone (2004),Sinbad: Legend of the Seven Seas (2003),Night at the Museum: Secret of the Tomb (2014),,"Back-up Plan, The (2010)",Battlestar Galactica: Razor (2007),Naked Lunch (1991),,Artemisia (1997),"Hidden, The (1987)",Ninja Scroll (Jûbei ninpûchô) (1995),Gold Diggers of 1935 (1935),Saving Private Ryan (1998),Vampire Hunter D (1985),"6th Day, The (2000)","Fountain, The (2006)",American Ninja (1985)
"Queen of Versailles, The (2012)",,,"Better Tomorrow II, A (Ying hung boon sik II) (1987)","Phantom Tollbooth, The (1970)",Heidi (1937),,Home Alone 3 (1997),"World Is Not Enough, The (1999)",Mission: Impossible (1996),,Dead Poets Society (1989),Series 7: The Contenders (2001),The Dark Tower (2017),Fantasia 2000 (1999),Father Goose (1964),Cry_Wolf (a.k.a. Cry Wolf) (2005),Light Years (Gandahar) (1988),For Whom the Bell Tolls (1943),"Eagle, The (2011)"
Monterey Pop (1968),,,Set It Off (1996),Madagascar 3: Europe's Most Wanted (2012),That Darn Cat! (1965),,Running Scared (1986),The Nice Guys (2016),Holy Motors (2012),,Nixon (1995),Ong-Bak: The Thai Warrior (Ong Bak) (2003),Flubber (1997),Easter Parade (1948),Hacksaw Ridge (2016),"Burrowers, The (2008)",Spider-Man (2002),Vibes (1988),Lamerica (1994)
Michael Jordan to the Max (2000),,,Ocean's Twelve (2004),"Iron Giant, The (1999)",Babe (1995),,"Atalante, L' (1934)",Camino (2016),Sleepy Hollow (1999),,Punch-Drunk Love (2002),Days of Thunder (1990),Like Water for Chocolate (Como agua para chocolate) (1992),"South Park: Bigger, Longer and Uncut (1999)",Navy Seals (1990),It (1990),Ink (2009),10 Items or Less (2006),White Water Summer (1987)
"Great Day in Harlem, A (1994)",,,From Dusk Till Dawn 2: Texas Blood Money (1999) ,Final Fantasy VII: Advent Children (2004),Annie (1982),,"Wackness, The (2008)",Saw IV (2007),Fire in the Sky (1993),,"Namesake, The (2006)",Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992),"10th Kingdom, The (2000)",Glitter (2001),Operation Dumbo Drop (1995),"Tenant, The (Locataire, Le) (1976)",Perfect Sense (2011),Kissed (1996),Stargate (1994)
Tarnation (2003),,,Mother (Madeo) (2009),A Plasticine Crow (1981),Saving Santa (2013),,Sebastian Maniscalco: What's Wrong with People? (2012),"Brothers Grimm, The (2005)",Gozu (Gokudô kyôfu dai-gekijô: Gozu) (2003),,World Trade Center (2006),Impostor (2002),Faust (1926),All That Jazz (1979),Mongol (2007),Friday the 13th Part VIII: Jason Takes Manhattan (1989),Upside Down (2012),"Last Metro, The (Dernier métro, Le) (1980)",Space Battleship Yamato (2010)
When You're Strange (2009),,,"Hate (Haine, La) (1995)",Frankenweenie (2012),Mouse Hunt (1997),,Christmas with the Kranks (2004),Sherlock Holmes (2009),North by Northwest (1959),,Hotel Rwanda (2004),In Like Flint (1967),"Machine Girl, The (Kataude mashin gâru) (2008)",Grease 2 (1982),"Mouse That Roared, The (1959)","Funhouse, The (1981)",Land of the Lost (2009),A Home at the End of the World (2004),King Solomon's Mines (1937)
War Dance (2007),,,"Long Goodbye, The (1973)",Karlson Returns (1970),Kung Fu Panda: Secrets of the Furious Five (2008),,How to Marry a Millionaire (1953),The Girl on the Train (2016),Identity (2003),,"Prestige, The (2006)","Godzilla 1985: The Legend Is Reborn (Gojira) (Godzilla) (Return of Godzilla, The) (1984)",Alice (Neco z Alenky) (1988),"Phantom of the Opera, The (2004)",Valhalla Rising (2009),Pitch Black (2000),Pitch Black (2000),"Knight's Tale, A (2001)",Kingsglaive: Final Fantasy XV (2016)
Outfoxed: Rupert Murdoch's War on Journalism (2004),,,Black Rain (1989),The Lego Movie (2014),Shiloh (1997),,Kevin Hart: Laugh at My Pain (2011),Resident Evil: Extinction (2007),Sherlock: The Abominable Bride (2016),,'71 (2014),Rise of the Planet of the Apes (2011),"Purple Rose of Cairo, The (1985)",My Fair Lady (1964),Bent (1997),Candyman: Farewell to the Flesh (1995),Lifeforce (1985),"Truly, Madly, Deeply (1991)",Season of the Witch (2011)
Happy People: A Year in the Taiga (2010),,,"Real McCoy, The (1993)",Dumbo (1941),Alvin and the Chipmunks (2007),,Trail of the Pink Panther (1982),Twilight Zone: The Movie (1983),Safe House (2012),,The Pacific (2010),"Adventures of Ford Fairlane, The (1990)",Phantasm II (1988),Pillow Talk (1959),Alexander (2004),Castle Freak (1995),"Dernier Combat, Le (Last Battle, The) (1983)","Baxter, The (2005)",Star Wars: The Last Jedi (2017)
Grey Gardens (1975),,,Assault on Precinct 13 (2005),Happy Feet (2006),Cloudy with a Chance of Meatballs (2009),,Johnny English (2003),Careful What You Wish For (2015),Saw (2004),,"Deer Hunter, The (1978)",Death Race 2000 (1975),Harry Potter and the Deathly Hallows: Part 2 (2011),Rock-A-Doodle (1991),Shenandoah (1965),I Still Know What You Did Last Summer (1998),Spring (2015),Ghost (1990),"Bridge on the River Kwai, The (1957)"
Dancemaker (1998),,,American History X (1998),"Hunchback of Notre Dame, The (1996)",Herbie Rides Again (1974),,My Life as a Dog (Mitt liv som hund) (1985),"Exorcism of Emily Rose, The (2005)",Fletch (1985),,Class Action (1991),"Librarian: Quest for the Spear, The (2004)",Snow White (1916),"Producers, The (2005)",Captain Horatio Hornblower R.N. (1951),Split (2017),Galaxy Quest (1999),Courier (1987),"People That Time Forgot, The (1977)"
Good Copy Bad Copy (2007),,,The Hound of the Baskervilles (1988),More (1998),"Lion King II: Simba's Pride, The (1998)",,City Lights (1931),Saw II (2005),Lady in White (a.k.a. The Mystery of the Lady in White) (1988),,This Boy's Life (1993),Hitman: Agent 47 (2015),Alice (1990),What's Love Got to Do with It? (1993),Che: Part Two (2008),Lifeforce (1985),Eternal Sunshine of the Spotless Mind (2004),Sense and Sensibility (1995),Alice Through the Looking Glass (2016)
"Art of the Steal, The (2009)",,,New York Cop (Nyû Yôku no koppu) (1993),"Sky Crawlers, The (Sukai kurora) (2008)",Tall Tale (1995),,"Ugly Truth, The (2009)",Taken 2 (2012),Inferno (2016),,"Boondock Saints, The (2000)",Alone in the Dark II (2008),"Company of Wolves, The (1984)",Dreamgirls (2006),Paisan (Paisà) (1946),"Haunted World of El Superbeasto, The (2009)",Star Trek VI: The Undiscovered Country (1991),"Cruel Romance, A (Zhestokij Romans) (1984)",Mars Needs Moms (2011)
Anne Frank Remembered (1995),,,Ichi the Killer (Koroshiya 1) (2001),Sword of the Stranger (Sutorejia: Mukô hadan) (2007),Alice in Wonderland (1933),,"Super, The (1991)",Land of the Dead (2005),Mystic River (2003),,Great Expectations (1946),Mission: Impossible - Rogue Nation (2015),Memories (Memorîzu) (1995),Steamboat Willie (1928),Underground (1995),Spring (2015),Cowboys & Aliens (2011),"Heiress, The (1949)",Stardust (2007)
China Blue (2005),,,Project A 2 ('A' gai wak juk jap) (1987),Futurama: Into the Wild Green Yonder (2009),Ratchet & Clank (2016),,"Terminal, The (2004)",Into the Blue (2005),Neon Genesis Evangelion: Death & Rebirth (Shin seiki Evangelion Gekijô-ban: Shito shinsei) (1997),,T2: Trainspotting (2017),Lucy (2014),Sorry to Bother You (2018),"Red Shoes, The (1948)",Full Metal Jacket (1987),Dark Water (Honogurai mizu no soko kara) (2002),Stealth (2005),Lovers & Leavers (Kuutamolla) (2002),Over the Garden Wall (2013)
"Act of Killing, The (2012)",,,Bonfire of the Vanities (1990),Puss in Boots (2011),Sinbad: Legend of the Seven Seas (2003),,"Addams Family, The (1991)",Syriana (2005),The Editor (2015),,Down by Law (1986),Mortal Kombat: The Journey Begins (1995),Harry Potter and the Chamber of Secrets (2002),"Rudolph, the Red-Nosed Reindeer (1964)","Americanization of Emily, The (1964)",Let the Right One In (Låt den rätte komma in) (2008),Ready Player One,"Divorcee, The (1930)",Close Encounters of the Third Kind (1977)
Buena Vista Social Club (1999),,,Playing God (1997),Rio 2 (2014),Race to Witch Mountain (2009),,Fever Pitch (1997),"War Zone, The (1999)",Laura (1944),,Glengarry Glen Ross (1992),"Knight's Tale, A (2001)",Long Live Ghosts! (1977),High School Musical (2006),Musa the Warrior (Musa) (2001),Red Eye (2005),"Sound of Thunder, A (2005)",Not on the Lips (Pas sur la bouche) (2003),Jay and Silent Bob Strike Back (2001)
Into the Arms of Strangers: Stories of the Kindertransport (2000),,,Supercop 2 (Project S) (Chao ji ji hua) (1993),"Rescuers Down Under, The (1990)","Christmas Carol, A (1938)",,"Nine Lives of Tomas Katz, The (2000)",Snowden (2016),"Jacket, The (2005)",,Crime and Punishment in Suburbia (2000),"Big Doll House, The (1971)",Fantastic Four (2015),Selena (1997),Bat*21 (1988),Wyrmwood (2015),"League of Extraordinary Gentlemen, The (a.k.a. LXG) (2003)",Blood and Chocolate (2007),Maximum Risk (1996)
No End in Sight (2007),,,V. I. Warshawski (1991),Nasu: Summer in Andalusia (2003),"Phantom Tollbooth, The (1970)",,"Deal, The (2008)",Ong-Bak: The Thai Warrior (Ong Bak) (2003),Arsenic and Old Lace (1944),,Pink Cadillac (1989),Jackass 3D (2010),2046 (2004),,Manufacturing Consent: Noam Chomsky and the Media (1992),Underworld: Evolution (2006),Heart of a Dog (Sobachye serdtse) (1988),Hysteria (2011),In This World (2002)
American Movie (1999),,,Making a Murderer (2015),Only Yesterday (Omohide poro poro) (1991),Madagascar 3: Europe's Most Wanted (2012),,Comedy of the Strict Regime (1993),Red Hill (2010),"Dark Half, The (1993)",,On the Beach (1959),Assassin's Creed (2016),Zoom (2006),,Basic (2003),Always Watching: A Marble Hornets Story (2015),Wyrmwood (2015),High Art (1998),"Charlie, the Lonesome Cougar (1967)"
Martin Lawrence Live: Runteldat (2002),,,"Good Thief, The (2002)",Dragon Ball Z the Movie: The Tree of Might (Doragon bôru Z 3: Chikyû marugoto chô kessen) (1990),"Iron Giant, The (1999)",,Help! (1965),Obsessed (2009),Source Code (2011),,Johnny Eager (1942),City Heat (1984),Tin Man (2007),,"Manchurian Candidate, The (1962)",Tales from the Darkside: The Movie (1990),Surviving the Game (1994),"Santa Clause 2, The (2002)","Pirate Movie, The (1982)"
Jeff Ross Roasts Criminals: Live at Brazos County Jail (2015),,,Bad Boys II (2003),Eight Crazy Nights (Adam Sandler's Eight Crazy Nights) (2002),Flight of the Navigator (1986),,Killer Movie (2008),Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992),Eyes of Laura Mars (1978),,"Ring Two, The (2005)",The Last Witch Hunter (2015),Byzantium (2012),,Joint Security Area (Gongdong gyeongbi guyeok JSA) (2000),"Devil's Rejects, The (2005)",Wings of Honneamise (Ôritsu uchûgun Oneamisu no tsubasa) (1987),Persuasion (2007),James and the Giant Peach (1996)
Starsuckers (2009),,,Die Hard: With a Vengeance (1995),Loving Vincent (2017),Karlson Returns (1970),,Stardust Memories (1980),Tell No One (Ne le dis à personne) (2006),Spirits of the Dead (1968),,Harry Brown (2009),Predator 2 (1990),"Secret of Roan Inish, The (1994)",,"Big Red One, The (1980)","Nightmare on Elm Street, A (2010)",Ghost in the Shell (Kôkaku kidôtai) (1995),Carry on Cabby (1963),"Perfect Plan, A (Plan parfait, Un) (2012)"
Nico Icon (1995),,,RoboCop 2 (1990),Kung Fu Panda 2 (2011),"Honey, I Blew Up the Kid (1992)",,Creep 2 (2017),Impostor (2002),Chungking Express (Chung Hing sam lam) (1994),,Burn After Reading (2008),"Gunman, The (2015)",The Flash 2 - Revenge of the Trickster (1991),,Ip Man (2008),"Nightmare on Elm Street 5: The Dream Child, A (1989)","Dude, Where's My Car? (2000)",Julie & Julia (2009),Thunderbirds (2004)
"Filth and the Fury, The (2000)",,,True Crime (1999),Dragon Ball Z: Dead Zone (Doragon bôru Z 1: Ora no Gohan wo kaese) (1989),Golmaal (2006),,Scoop (2006),"Godzilla 1985: The Legend Is Reborn (Gojira) (Godzilla) (Return of Godzilla, The) (1984)",Black Sea (2015),,Another Earth (2011),Red Cliff Part II (Chi Bi Xia: Jue Zhan Tian Xia) (2009),Pirates of the Caribbean: On Stranger Tides (2011),,Grave of the Fireflies (Hotaru no haka) (1988),Planet Terror (2007),Avatar (2009),3 Idiots (2009),Tomb Raider (2018)
"Unknown Known, The (2013)",,,Sister Act (1992),Mr Hublot (2013),Mighty Morphin Power Rangers: The Movie (1995),,"Medallion, The (2003)",Rise of the Planet of the Apes (2011),"Girl Who Kicked the Hornet's Nest, The (Luftslottet som sprängdes) (2009)",,Shadow of a Doubt (1943),Kite (2014),"Honey, I Shrunk the Kids (1989)",,Forrest Gump (1994),Jaws 2 (1978),Paprika (Papurika) (2006),Giant (1956),Jurassic World (2015)
Riding Giants (2004),,,Faster (2010),Neon Genesis Evangelion: Death & Rebirth (Shin seiki Evangelion Gekijô-ban: Shito shinsei) (1997),The Lego Movie (2014),,"Inbetweeners Movie, The (2011)",Exorcist: The Beginning (2004),Diva (1981),,Closely Watched Trains (Ostre sledované vlaky) (1966),Max Payne (2008),Weird Science (1985),,Cold Mountain (2003),White Noise (2005),Spriggan (Supurigan) (1998),Seeking a Friend for the End of the World (2012),European Vacation (aka National Lampoon's European Vacation) (1985)
Stone Reader (2002),,,To Catch a Thief (1955),Jack-Jack Attack (2005),To Grandmother's House We Go (1992),,Out of Sight (1998),"Day of the Beast, The (Día de la Bestia, El) (1995)",Cellular (2004),,To Each His Own (1946),"Covenant, The (2006)",Scrooge (1970),,"Fighting Seabees, The (1944)",Frankenstein 90 (1984),Planet Terror (2007),"Getaway, The (1994)",Jack the Giant Slayer (2013)
U2: Rattle and Hum (1988),,,Twilight (1998),Alvin and the Chipmunks: The Squeakquel (2009),Dumbo (1941),,Hatchet III (2013),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Switchback (1997),,My Father and My Son (Babam ve oglum) (2005),Blue Thunder (1983),Star Wars: Episode VII - The Force Awakens (2015),,"Downfall (Untergang, Der) (2004)",Night of the Creeps (1986),Fahrenheit 451 (1966),PK (2014),Poseidon (2006)
